id,event_date,event_name,weight_class,winner,red_fighter,blue_fighter,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_age,blue_age,red_odds,blue_odds,red_avg_td_landed,blue_avg_td_landed,height_diff,reach_diff,avg_td_diff,red_win
1,2024-12-07,,Flyweight,Red,Alexandre Pantoja,Kai Asakura,165.1,172.72,170.18,175.26,34,31,-250.0,215.0,2.61,0.0,-7.6200000000000045,-5.079999999999984,2.61,1
2,2024-12-07,,Welterweight,Red,Shavkat Rakhmonov,Ian Machado Garry,185.42,190.5,195.58,187.96,30,27,-210.0,295.0,1.49,0.77,-5.0800000000000125,7.6200000000000045,0.72,1
3,2024-12-07,,Heavyweight,Red,Ciryl Gane,Alexander Volkov,193.04,200.66,205.74,203.2,34,36,-380.0,300.0,0.58,0.45,-7.6200000000000045,2.5400000000000205,0.12999999999999995,1
4,2024-12-07,,Featherweight,Red,Bryce Mitchell,Kron Gracie,177.8,175.26,177.8,177.8,30,36,-950.0,625.0,3.45,0.47,2.5400000000000205,0.0,2.9800000000000004,1
5,2024-12-07,,Featherweight,Blue,Nate Landwehr,Dooho Choi,175.26,177.8,182.88,177.8,36,33,-130.0,110.0,1.0,0.75,-2.5400000000000205,5.079999999999984,0.25,0
6,2024-12-07,,Light Heavyweight,Red,Dominick Reyes,Anthony Smith,193.04,193.04,195.58,193.04,34,36,-380.0,300.0,0.35,0.46,0.0,2.5400000000000205,-0.11000000000000004,1
7,2024-12-07,,Welterweight,Red,Vicente Luque,Themba Gorimbo,180.34,185.42,190.5,195.58,33,33,-650.0,-162.0,1.0,4.89,-5.079999999999984,-5.0800000000000125,-3.8899999999999997,1
8,2024-12-07,,Featherweight,Red,Movsar Evloev,Aljamain Sterling,170.18,170.18,182.88,180.34,30,35,-238.0,195.0,4.75,2.31,0.0,2.539999999999992,2.44,1
9,2024-12-07,,Welterweight,Blue,Randy Brown,Bryan Battle,190.5,185.42,198.12,195.58,34,30,150.0,-180.0,0.72,0.96,5.0800000000000125,2.539999999999992,-0.24,0
10,2024-12-07,,Catch Weight,Blue,Chris Weidman,Eryk Anders,187.96,185.42,198.12,190.5,40,37,-112.0,-108.0,3.44,1.79,2.5400000000000205,7.6200000000000045,1.65,0
11,2024-12-07,,Flyweight,Blue,Cody Durden,Joshua Van,170.18,165.1,170.18,165.1,33,23,142.0,-170.0,4.36,1.62,5.0800000000000125,5.0800000000000125,2.74,0
12,2024-12-07,,Welterweight,Red,Michael Chiesa,Max Griffin,185.42,180.34,190.5,193.04,37,39,-130.0,110.0,3.35,1.45,5.079999999999984,-2.539999999999992,1.9000000000000001,1
13,2024-12-07,,Lightweight,Blue,Clay Guida,Chase Hooper,170.18,185.42,177.8,187.96,42,25,700.0,-1100.0,3.13,1.45,-15.23999999999998,-10.159999999999997,1.68,0
14,2024-12-07,,Heavyweight,Red,Kennedy Nzechukwu,Lukasz Brzeski,195.58,193.04,210.82,198.12,32,32,-550.0,410.0,0.58,0.46,2.5400000000000205,12.699999999999989,0.11999999999999994,1
15,2024-11-23,,Bantamweight,Red,Petr Yan,Deiveson Figueiredo,170.18,165.1,170.18,172.72,31,36,-305.0,245.0,1.61,1.62,5.0800000000000125,-2.539999999999992,-0.010000000000000009,1
16,2024-11-23,,Women's Strawweight,Red,Yan Xiaonan,Tabatha Ricci,165.1,154.94,160.02,154.94,35,29,-198.0,164.0,0.92,2.74,10.159999999999997,5.0800000000000125,-1.8200000000000003,1
17,2024-11-23,,Welterweight,Blue,Song Kenan,Muslim Salikhov,182.88,180.34,180.34,177.8,34,40,,-230.0,0.42,1.08,2.539999999999992,2.539999999999992,-0.6600000000000001,0
18,2024-11-23,,Women's Flyweight,Blue,Wang Cong,Gabriella Fernandes,167.64,167.64,167.64,167.64,32,31,-950.0,750.0,1.16,0.56,0.0,0.0,0.5999999999999999,0
19,2024-11-23,,Light Heavyweight,Blue,Volkan Oezdemir,Carlos Ulberg,187.96,193.04,190.5,195.58,35,34,215.0,-265.0,0.5,0.72,-5.079999999999984,-5.0800000000000125,-0.21999999999999997,0
20,2024-11-23,,Light Heavyweight,Red,Zhang Mingyang,Ozzy Diaz,187.96,193.04,190.5,200.66,26,34,-225.0,210.0,0.0,0.0,-5.079999999999984,-10.159999999999997,0.0,1
21,2024-11-23,,Bantamweight,Blue,Baergeng Jieleyisi,SuYoung You,175.26,167.64,177.8,165.1,28,28,190.0,-230.0,1.65,4.67,7.6200000000000045,12.700000000000017,-3.02,0
22,2024-11-23,,Flyweight,Blue,Kiru Sahota,DongHun Choi,177.8,165.1,185.42,167.64,29,25,102.0,-122.0,0.92,0.46,12.700000000000017,17.78,0.46,0
23,2024-11-23,,Women's Strawweight,Red,Shi Ming,Feng Xiaocan,157.48,170.18,152.4,167.64,30,22,380.0,-490.0,0.37,1.08,-12.700000000000017,-15.23999999999998,-0.7100000000000001,1
24,2024-11-23,,Flyweight,Blue,Nyamjargal Tumendemberel,Carlos Hernandez,170.18,172.72,180.34,170.18,26,31,102.0,-122.0,2.42,1.6,-2.539999999999992,10.159999999999997,0.8199999999999998,0
25,2024-11-23,,Flyweight,Red,Lone'er Kavanagh,Jose Ochoa,162.56,170.18,170.18,170.18,25,23,-310.0,250.0,0.0,0.0,-7.6200000000000045,0.0,0.0,1
26,2024-11-23,,Bantamweight,Red,Xiao Long,Quang Le,172.72,167.64,177.8,177.8,26,33,-144.0,136.0,0.84,1.7,5.0800000000000125,0.0,-0.86,1
27,2024-11-23,,Lightweight,Blue,Maheshate,Nikolas Motta,182.88,175.26,180.34,177.8,24,31,-245.0,200.0,0.0,0.0,7.6200000000000045,2.539999999999992,0.0,0
28,2024-11-16,,Heavyweight,Red,Jon Jones,Stipe Miocic,193.04,193.04,213.36,203.2,37,42,-550.0,410.0,1.89,1.74,0.0,10.160000000000025,0.1499999999999999,1
